threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,log_loss,brier_score,positive_prediction_rate
0.34,0.8141666666666667,0.686447308860034,0.6057884231536926,0.45742275810097965,0.5212537569772434,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.167
0.35,0.8148333333333333,0.6847169626021054,0.609979633401222,0.45139412207987945,0.5188393243828497,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.16366666666666665
0.36,0.8163333333333334,0.6827122282586346,0.6182965299684543,0.4431047475508666,0.5162423178226514,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.1585
0.37,0.8183333333333334,0.6818378631691203,0.628385698808234,0.4370761115297664,0.5155555555555555,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.15383333333333332
0.38,0.8178333333333333,0.6766606123361594,0.6314606741573033,0.4235116804822909,0.5069914298601714,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.14833333333333334
0.39,0.8173333333333334,0.6731021141348003,0.6329113924050633,0.41446872645064053,0.5009107468123861,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.14483333333333334
0.4,0.8183333333333334,0.6715857631689752,0.6399055489964581,0.4084400904295403,0.49862005519779207,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.14116666666666666
0.41,0.8193333333333334,0.6700694122031501,0.6472727272727272,0.4024114544084401,0.4962825278810409,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.1375
0.42,0.8198333333333333,0.6674226919833687,0.65375,0.39412207987942727,0.4917724494593324,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.13333333333333333
0.43,0.8193333333333334,0.6646735700978105,0.6547770700636942,0.3873398643556895,0.48674242424242425,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.13083333333333333
0.44,0.8201666666666667,0.6630502214859336,0.662303664921466,0.3813112283345893,0.4839789574366332,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.12733333333333333
0.45,0.8185,0.6584729476569451,0.6590909090909091,0.3715146948003014,0.47518072289156627,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.12466666666666666
0.46,0.8186666666666667,0.6550726479345261,0.665742024965326,0.3617181612660136,0.46875,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.12016666666666667
0.47,0.8188333333333333,0.6527515166331752,0.6709401709401709,0.3549359457422758,0.46426811237062593,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.117
0.48,0.8191666666666667,0.649728006662075,0.6789940828402367,0.3458929917106255,0.4583125312031952,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.11266666666666666
0.49,0.8196666666666667,0.6470812864422936,0.6881720430107527,0.33760361718161264,0.4529828109201213,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.1085
0.5,0.819,0.6434157905948827,0.6909667194928685,0.3285606631499623,0.4453524004085802,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.10516666666666667
0.51,0.8186666666666667,0.6407736663553764,0.6943089430894309,0.32177844762622454,0.43975283213182287,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.1025
0.52,0.8181666666666667,0.6377547523645513,0.697324414715719,0.3142426525998493,0.43324675324675327,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.09966666666666667
0.53,0.8165,0.6320983101144948,0.6968641114982579,0.30143180105501133,0.4208311415044713,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.09566666666666666
0.54,0.8156666666666667,0.628595608726299,0.6983842010771992,0.2931424265259985,0.4129511677282378,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.09283333333333334
0.55,0.817,0.6278328372631115,0.7132216014897579,0.2886209495101733,0.41094420600858367,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.0895
0.56,0.8155,0.6222833926591068,0.71484375,0.27581009796533534,0.39804241435562804,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.08533333333333333
0.57,0.8141666666666667,0.6173805299116879,0.7163265306122449,0.2645064054257724,0.38635112823335166,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.08166666666666667
0.58,0.8135,0.6131754498537431,0.723175965665236,0.25395629238884704,0.3759063022866704,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.07766666666666666
0.59,0.8133333333333334,0.6103705311550214,0.7315436241610739,0.24642049736247174,0.3686583990980834,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.0745
0.6,0.8121666666666667,0.6058444581589213,0.7347417840375586,0.23587038432554636,0.35710211066742725,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.071
0.61,0.8108333333333333,0.6009415954115023,0.7376237623762376,0.22456669178598343,0.3443096476025419,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.06733333333333333
0.62,0.8088333333333333,0.5948013657640753,0.7368421052631579,0.21100226073850792,0.3280609256004687,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.06333333333333334
0.63,0.8086666666666666,0.5925360312758877,0.7452054794520548,0.20497362471740768,0.3215130023640662,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.060833333333333336
0.64,0.808,0.5896799117442777,0.7492877492877493,0.19819140919366993,0.3134684147794994,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.0585
0.65,0.8066666666666666,0.5858562174179267,0.7477744807121661,0.18990203466465713,0.30288461538461536,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.05616666666666666
0.66,0.8063333333333333,0.5837536773889542,0.7538461538461538,0.18462697814619441,0.2966101694915254,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.05416666666666667
0.67,0.8051666666666667,0.580576564919189,0.7515923566878981,0.17784476262245666,0.28762949421084705,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.052333333333333336
0.68,0.8043333333333333,0.5762644872151923,0.7628865979381443,0.16729464958553128,0.27441285537700866,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.0485
0.69,0.802,0.5709894306967296,0.7509025270758123,0.15674453654860587,0.2593516209476309,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.04616666666666667
0.7,0.8011666666666667,0.568026313519068,0.7537878787878788,0.14996232102486812,0.2501571338780641,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.044
0.71,0.8003333333333333,0.5645236121308722,0.7611336032388664,0.14167294649585532,0.2388818297331639,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.041166666666666664
0.72,0.7988333333333333,0.5605929201584694,0.7564102564102564,0.1333835719668425,0.2267777065983344,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.039
0.73,0.7966666666666666,0.5543456928649906,0.7535545023696683,0.11981914091936699,0.2067620286085826,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.035166666666666666
0.74,0.7948333333333333,0.5491218371794162,0.75,0.10851544837980406,0.18959842001316657,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.032
0.75,0.7935,0.5436793902214634,0.7650602409638554,0.09570459683496609,0.17012726054922975,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.027666666666666666
0.76,0.791,0.5372181676358809,0.7517241379310344,0.08214016578749057,0.1480978260869565,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.024166666666666666
0.77,0.7891666666666667,0.5314547277397726,0.7540983606557377,0.0693293142426526,0.12698412698412698,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.02033333333333333
0.78,0.7865,0.5238073390870707,0.7446808510638298,0.05275056518462698,0.09852216748768473,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.015666666666666666
0.79,0.7848333333333334,0.5186904810475481,0.7432432432432432,0.04144687264506405,0.07851534618129907,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.012333333333333333
0.8,0.7835,0.51459699461593,0.7413793103448276,0.03240391861341371,0.06209386281588448,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.009666666666666667
0.81,0.7823333333333333,0.5100709216198299,0.7837837837837838,0.02185380557648832,0.04252199413489736,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.006166666666666667
0.82,0.7806666666666666,0.5060332320013752,0.72,0.013564431047475508,0.026627218934911243,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.004166666666666667
0.83,0.779,0.5019955423829207,0.5384615384615384,0.0052750565184626974,0.010447761194029851,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.0021666666666666666
0.84,0.7788333333333334,0.500269792105267,0.5,0.0007535795026375283,0.0015048908954100827,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.0003333333333333333
0.85,0.779,0.5003767897513187,1.0,0.0007535795026375283,0.0015060240963855422,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.00016666666666666666
0.86,0.7788333333333334,0.5,0.0,0.0,0.0,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.0
0.87,0.7788333333333334,0.5,0.0,0.0,0.0,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.0
0.88,0.7788333333333334,0.5,0.0,0.0,0.0,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.0
0.89,0.7788333333333334,0.5,0.0,0.0,0.0,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.0
0.9,0.7788333333333334,0.5,0.0,0.0,0.0,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.0
0.91,0.7788333333333334,0.5,0.0,0.0,0.0,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.0
